	Emoji	Hexadecimal	Unicode	Texto	
 🧰	&#x1f9f0;	U+1F9F0	\xf0\x9f\xa7\xb0	
 🧱	&#x1f9f1;	U+1F9F1	\xf0\x9f\xa7\xb1	
 🧶	&#x1f9f6;	U+1F9F6	\xf0\x9f\xa7\xb6	
 🧷	&#x1f9f7;	U+1F9F7	\xf0\x9f\xa7\xb7	
 🧴	&#x1f9f4;	U+1F9F4	\xf0\x9f\xa7\xb4	
 🧵	&#x1f9f5;	U+1F9F5	\xf0\x9f\xa7\xb5	
 🧪	&#x1f9ea;	U+1F9EA	\xf0\x9f\xa7\xaa	
 🧫	&#x1f9eb;	U+1F9EB	\xf0\x9f\xa7\xab	
 🧨	&#x1f9e8;	U+1F9E8	\xf0\x9f\xa7\xa8	
 🧩	&#x1f9e9;	U+1F9E9	\xf0\x9f\xa7\xa9	
 🧮	&#x1f9ee;	U+1F9EE	\xf0\x9f\xa7\xae	
 🧯	&#x1f9ef;	U+1F9EF	\xf0\x9f\xa7\xaf	
 🧬	&#x1f9ec;	U+1F9EC	\xf0\x9f\xa7\xac	
 🧭	&#x1f9ed;	U+1F9ED	\xf0\x9f\xa7\xad	
 🧢	&#x1f9e2;	U+1F9E2	\xf0\x9f\xa7\xa2	
 🧣	&#x1f9e3;	U+1F9E3	\xf0\x9f\xa7\xa3	
 🧠	&#x1f9e0;	U+1F9E0	\xf0\x9f\xa7\xa0	
 🧡	&#x1f9e1;	U+1F9E1	\xf0\x9f\xa7\xa1	
 🧦	&#x1f9e6;	U+1F9E6	\xf0\x9f\xa7\xa6	
 🧧	&#x1f9e7;	U+1F9E7	\xf0\x9f\xa7\xa7	
 🧤	&#x1f9e4;	U+1F9E4	\xf0\x9f\xa7\xa4	
 🧥	&#x1f9e5;	U+1F9E5	\xf0\x9f\xa7\xa5	
 🏂	&#x1f3c2;	U+1F3C2	\xf0\x9f\x8f\x82	
 🏃	&#x1f3c3;	U+1F3C3	\xf0\x9f\x8f\x83	
 🏀	&#x1f3c0;	U+1F3C0	\xf0\x9f\x8f\x80	
 🏁	&#x1f3c1;	U+1F3C1	\xf0\x9f\x8f\x81	
 🏄	&#x1f3c4;	U+1F3C4	\xf0\x9f\x8f\x84	
 🏅	&#x1f3c5;	U+1F3C5	\xf0\x9f\x8f\x85	
 8⃣	&#x38000020e3;	U+38000020E3	\x38\xe2\x83\xa3	
 🇨🇴	&#x1f1e80001f1f4;	U+1F1E80001F1F4	\xf0\x9f\x87\xa8\xf0\x9f\x87\xb4	
 🏉	&#x1f3c9;	U+1F3C9	\xf0\x9f\x8f\x89	
 🦸‍♀️	&#x0;	U+1F9B80000200D000026400000FE0F	\xf0\x9f\xa6\xb8\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f	
 🇨🇰	&#x1f1e80001f1f0;	U+1F1E80001F1F0	\xf0\x9f\x87\xa8\xf0\x9f\x87\xb0	
 🧘‍♂️	&#x0;	U+1F9D80000200D000026420000FE0F	\xf0\x9f\xa7\x98\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f	
 🏏	&#x1f3cf;	U+1F3CF	\xf0\x9f\x8f\x8f	
 👨‍💻	&#x200d00000000;	U+1F4680000200D0001F4BB	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x92\xbb	
 🏌	&#x1f3cc;	U+1F3CC	\xf0\x9f\x8f\x8c	
 🏍	&#x1f3cd;	U+1F3CD	\xf0\x9f\x8f\x8d	
 👪	&#x1f46a;	U+1F46A	\xf0\x9f\x91\xaa	
 🏒	&#x1f3d2;	U+1F3D2	\xf0\x9f\x8f\x92	
 🏓	&#x1f3d3;	U+1F3D3	\xf0\x9f\x8f\x93	
 🏐	&#x1f3d0;	U+1F3D0	\xf0\x9f\x8f\x90	
 👩‍💻	&#x200d00000000;	U+1F4690000200D0001F4BB	\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x92\xbb	
 🤦‍♀	&#x200d00000000;	U+1F9260000200D00002640	\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80	
 🇨🇨	&#x1f1e80001f1e8;	U+1F1E80001F1E8	\xf0\x9f\x87\xa8\xf0\x9f\x87\xa8	
 🏗	&#x1f3d7;	U+1F3D7	\xf0\x9f\x8f\x97	
 👑	&#x1f451;	U+1F451	\xf0\x9f\x91\x91	
 🏕	&#x1f3d5;	U+1F3D5	\xf0\x9f\x8f\x95	
 👨‍🌾	&#x200d00000000;	U+1F4680000200D0001F33E	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8c\xbe	
 👓	&#x1f453;	U+1F453	\xf0\x9f\x91\x93	
 🏘	&#x1f3d8;	U+1F3D8	\xf0\x9f\x8f\x98	
 👖	&#x1f456;	U+1F456	\xf0\x9f\x91\x96	
 🇰🇳	&#x1f1f00001f1f3;	U+1F1F00001F1F3	\xf0\x9f\x87\xb0\xf0\x9f\x87\xb3	
 👘	&#x1f458;	U+1F458	\xf0\x9f\x91\x98	
 🇰🇾	&#x1f1f00001f1fe;	U+1F1F00001F1FE	\xf0\x9f\x87\xb0\xf0\x9f\x87\xbe	
 👛	&#x1f45b;	U+1F45B	\xf0\x9f\x91\x9b	
 👩‍🌾	&#x200d00000000;	U+1F4690000200D0001F33E	\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x8c\xbe	
 📴	&#x1f4f4;	U+1F4F4	\xf0\x9f\x93\xb4	
 😛	&#x1f61b;	U+1F61B	\xf0\x9f\x98\x9b	
 #⃣	&#x23000020e3;	U+23000020E3	\x23\xe2\x83\xa3	
 😙	&#x1f619;	U+1F619	\xf0\x9f\x98\x99	
 😘	&#x1f618;	U+1F618	\xf0\x9f\x98\x98	
 😟	&#x1f61f;	U+1F61F	\xf0\x9f\x98\x9f	
 😞	&#x1f61e;	U+1F61E	\xf0\x9f\x98\x9e	
 😝	&#x1f61d;	U+1F61D	\xf0\x9f\x98\x9d	
 😜	&#x1f61c;	U+1F61C	\xf0\x9f\x98\x9c	
 😓	&#x1f613;	U+1F613	\xf0\x9f\x98\x93	
 😒	&#x1f612;	U+1F612	\xf0\x9f\x98\x92	
 😑	&#x1f611;	U+1F611	\xf0\x9f\x98\x91	
 😐	&#x1f610;	U+1F610	\xf0\x9f\x98\x90	
 😗	&#x1f617;	U+1F617	\xf0\x9f\x98\x97	
 😖	&#x1f616;	U+1F616	\xf0\x9f\x98\x96	
 😕	&#x1f615;	U+1F615	\xf0\x9f\x98\x95	
 😔	&#x1f614;	U+1F614	\xf0\x9f\x98\x94	
 😋	&#x1f60b;	U+1F60B	\xf0\x9f\x98\x8b	
 😊	&#x1f60a;	U+1F60A	\xf0\x9f\x98\x8a	
 😉	&#x1f609;	U+1F609	\xf0\x9f\x98\x89	
 😈	&#x1f608;	U+1F608	\xf0\x9f\x98\x88	
 😏	&#x1f60f;	U+1F60F	\xf0\x9f\x98\x8f	
 😎	&#x1f60e;	U+1F60E	\xf0\x9f\x98\x8e	
 😍	&#x1f60d;	U+1F60D	\xf0\x9f\x98\x8d	
 🇰🇭	&#x1f1f00001f1ed;	U+1F1F00001F1ED	\xf0\x9f\x87\xb0\xf0\x9f\x87\xad	
 😃	&#x1f603;	U+1F603	\xf0\x9f\x98\x83	
 😂	&#x1f602;	U+1F602	\xf0\x9f\x98\x82	
 😁	&#x1f601;	U+1F601	\xf0\x9f\x98\x81	
 😀	&#x1f600;	U+1F600	\xf0\x9f\x98\x80	
 😇	&#x1f607;	U+1F607	\xf0\x9f\x98\x87	
 👊	&#x1f44a;	U+1F44A	\xf0\x9f\x91\x8a	
 😅	&#x1f605;	U+1F605	\xf0\x9f\x98\x85	
 😄	&#x1f604;	U+1F604	\xf0\x9f\x98\x84	
 😻	&#x1f63b;	U+1F63B	\xf0\x9f\x98\xbb	
 😺	&#x1f63a;	U+1F63A	\xf0\x9f\x98\xba	
 😹	&#x1f639;	U+1F639	\xf0\x9f\x98\xb9	
 😸	&#x1f638;	U+1F638	\xf0\x9f\x98\xb8	
 😿	&#x1f63f;	U+1F63F	\xf0\x9f\x98\xbf	
 😾	&#x1f63e;	U+1F63E	\xf0\x9f\x98\xbe	
 😽	&#x1f63d;	U+1F63D	\xf0\x9f\x98\xbd	
 😼	&#x1f63c;	U+1F63C	\xf0\x9f\x98\xbc	
 😳	&#x1f633;	U+1F633	\xf0\x9f\x98\xb3	
 😲	&#x1f632;	U+1F632	\xf0\x9f\x98\xb2	
 😱	&#x1f631;	U+1F631	\xf0\x9f\x98\xb1	
 😰	&#x1f630;	U+1F630	\xf0\x9f\x98\xb0	
 😷	&#x1f637;	U+1F637	\xf0\x9f\x98\xb7	
 😶	&#x1f636;	U+1F636	\xf0\x9f\x98\xb6	
 😵	&#x1f635;	U+1F635	\xf0\x9f\x98\xb5	
 😴	&#x1f634;	U+1F634	\xf0\x9f\x98\xb4	
 😫	&#x1f62b;	U+1F62B	\xf0\x9f\x98\xab	
 😪	&#x1f62a;	U+1F62A	\xf0\x9f\x98\xaa	
 😩	&#x1f629;	U+1F629	\xf0\x9f\x98\xa9	
 😨	&#x1f628;	U+1F628	\xf0\x9f\x98\xa8	
 😯	&#x1f62f;	U+1F62F	\xf0\x9f\x98\xaf	
 👎	&#x1f44e;	U+1F44E	\xf0\x9f\x91\x8e	
 😭	&#x1f62d;	U+1F62D	\xf0\x9f\x98\xad	
 😬	&#x1f62c;	U+1F62C	\xf0\x9f\x98\xac	
 😣	&#x1f623;	U+1F623	\xf0\x9f\x98\xa3	
 😢	&#x1f622;	U+1F622	\xf0\x9f\x98\xa2	
 😡	&#x1f621;	U+1F621	\xf0\x9f\x98\xa1	
 😠	&#x1f620;	U+1F620	\xf0\x9f\x98\xa0	
 😧	&#x1f627;	U+1F627	\xf0\x9f\x98\xa7	
 😦	&#x1f626;	U+1F626	\xf0\x9f\x98\xa6	
 😥	&#x1f625;	U+1F625	\xf0\x9f\x98\xa5	
 😤	&#x1f624;	U+1F624	\xf0\x9f\x98\xa4	
 😚	&#x1f61a;	U+1F61A	\xf0\x9f\x98\x9a	
 🦹‍♂️	&#x0;	U+1F9B90000200D000026420000FE0F	\xf0\x9f\xa6\xb9\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f	
 ➰	&#x27b0;	U+27B0	\xe2\x9e\xb0	
 👈	&#x1f448;	U+1F448	\xf0\x9f\x91\x88	
 👨‍❤‍💋‍👨	&#x0;	U+1F4680000200D000027640000200D0001F48B0000200D0001F468	\xf0\x9f\x91\xa8\xe2\x80\x8d\xe2\x9d\xa4\xe2\x80\x8d\xf0\x9f\x92\x8b\xe2\x80\x8d\xf0\x9f\x91\xa8	
 ⛴	&#x26f4;	U+26F4	\xe2\x9b\xb4	
 ⛵	&#x26f5;	U+26F5	\xe2\x9b\xb5	
 ⛷	&#x26f7;	U+26F7	\xe2\x9b\xb7	
 ⛰	&#x26f0;	U+26F0	\xe2\x9b\xb0	
 ⛱	&#x26f1;	U+26F1	\xe2\x9b\xb1	
 ⛲	&#x26f2;	U+26F2	\xe2\x9b\xb2	
 ⛳	&#x26f3;	U+26F3	\xe2\x9b\xb3	
 ⛽	&#x26fd;	U+26FD	\xe2\x9b\xbd	
 ⛸	&#x26f8;	U+26F8	\xe2\x9b\xb8	
 ⛹	&#x26f9;	U+26F9	\xe2\x9b\xb9	
 ⛺	&#x26fa;	U+26FA	\xe2\x9b\xba	
 ⛩	&#x26e9;	U+26E9	\xe2\x9b\xa9	
 ⛪	&#x26ea;	U+26EA	\xe2\x9b\xaa	
 ⛔	&#x26d4;	U+26D4	\xe2\x9b\x94	
 ⛑	&#x26d1;	U+26D1	\xe2\x9b\x91	
 🇵🇦	&#x1f1f50001f1e6;	U+1F1F50001F1E6	\xf0\x9f\x87\xb5\xf0\x9f\x87\xa6	
 🇵🇫	&#x1f1f50001f1eb;	U+1F1F50001F1EB	\xf0\x9f\x87\xb5\xf0\x9f\x87\xab	
 🇵🇪	&#x1f1f50001f1ea;	U+1F1F50001F1EA	\xf0\x9f\x87\xb5\xf0\x9f\x87\xaa	
 🇵🇭	&#x1f1f50001f1ed;	U+1F1F50001F1ED	\xf0\x9f\x87\xb5\xf0\x9f\x87\xad	
 🇵🇬	&#x1f1f50001f1ec;	U+1F1F50001F1EC	\xf0\x9f\x87\xb5\xf0\x9f\x87\xac	
 ⛄	&#x26c4;	U+26C4	\xe2\x9b\x84	
 ⛅	&#x26c5;	U+26C5	\xe2\x9b\x85	
 🇵🇳	&#x1f1f50001f1f3;	U+1F1F50001F1F3	\xf0\x9f\x87\xb5\xf0\x9f\x87\xb3	
 🇵🇲	&#x1f1f50001f1f2;	U+1F1F50001F1F2	\xf0\x9f\x87\xb5\xf0\x9f\x87\xb2	
 🇵🇷	&#x1f1f50001f1f7;	U+1F1F50001F1F7	\xf0\x9f\x87\xb5\xf0\x9f\x87\xb7	
 🇵🇹	&#x1f1f50001f1f9;	U+1F1F50001F1F9	\xf0\x9f\x87\xb5\xf0\x9f\x87\xb9	
 🇵🇸	&#x1f1f50001f1f8;	U+1F1F50001F1F8	\xf0\x9f\x87\xb5\xf0\x9f\x87\xb8	
 ⛎	&#x26ce;	U+26CE	\xe2\x9b\x8e	
 ⛏	&#x26cf;	U+26CF	\xe2\x9b\x8f	
 ⛈	&#x26c8;	U+26C8	\xe2\x9b\x88	
 🇵🇼	&#x1f1f50001f1fc;	U+1F1F50001F1FC	\xf0\x9f\x87\xb5\xf0\x9f\x87\xbc	
 🇵🇾	&#x1f1f50001f1fe;	U+1F1F50001F1FE	\xf0\x9f\x87\xb5\xf0\x9f\x87\xbe	
 👨‍🍳	&#x200d00000000;	U+1F4680000200D0001F373	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8d\xb3	
 😌	&#x1f60c;	U+1F60C	\xf0\x9f\x98\x8c	
 😆	&#x1f606;	U+1F606	\xf0\x9f\x98\x86	
 🦡	&#x1f9a1;	U+1F9A1	\xf0\x9f\xa6\xa1	
 🦠	&#x1f9a0;	U+1F9A0	\xf0\x9f\xa6\xa0	
 🦢	&#x1f9a2;	U+1F9A2	\xf0\x9f\xa6\xa2	
 🦵	&#x1f9b5;	U+1F9B5	\xf0\x9f\xa6\xb5	
 🦴	&#x1f9b4;	U+1F9B4	\xf0\x9f\xa6\xb4	
 🦷	&#x1f9b7;	U+1F9B7	\xf0\x9f\xa6\xb7	
 🦶	&#x1f9b6;	U+1F9B6	\xf0\x9f\xa6\xb6	
 🤽‍♀	&#x200d00000000;	U+1F93D0000200D00002640	\xf0\x9f\xa4\xbd\xe2\x80\x8d\xe2\x99\x80	
 🤽‍♂	&#x200d00000000;	U+1F93D0000200D00002642	\xf0\x9f\xa4\xbd\xe2\x80\x8d\xe2\x99\x82	
 🦹	&#x1f9b9;	U+1F9B9	\xf0\x9f\xa6\xb9	
 🦸	&#x1f9b8;	U+1F9B8	\xf0\x9f\xa6\xb8	
 🦅	&#x1f985;	U+1F985	\xf0\x9f\xa6\x85	
 🦄	&#x1f984;	U+1F984	\xf0\x9f\xa6\x84	
 🦇	&#x1f987;	U+1F987	\xf0\x9f\xa6\x87	
 🦆	&#x1f986;	U+1F986	\xf0\x9f\xa6\x86	
 🦁	&#x1f981;	U+1F981	\xf0\x9f\xa6\x81	
 🦀	&#x1f980;	U+1F980	\xf0\x9f\xa6\x80	
 🦃	&#x1f983;	U+1F983	\xf0\x9f\xa6\x83	
 🦂	&#x1f982;	U+1F982	\xf0\x9f\xa6\x82	
 🦍	&#x1f98d;	U+1F98D	\xf0\x9f\xa6\x8d	
 🦌	&#x1f98c;	U+1F98C	\xf0\x9f\xa6\x8c	
 🦏	&#x1f98f;	U+1F98F	\xf0\x9f\xa6\x8f	
 🦎	&#x1f98e;	U+1F98E	\xf0\x9f\xa6\x8e	
 🦉	&#x1f989;	U+1F989	\xf0\x9f\xa6\x89	
 🦈	&#x1f988;	U+1F988	\xf0\x9f\xa6\x88	
 🦋	&#x1f98b;	U+1F98B	\xf0\x9f\xa6\x8b	
 🦊	&#x1f98a;	U+1F98A	\xf0\x9f\xa6\x8a	
 🦕	&#x1f995;	U+1F995	\xf0\x9f\xa6\x95	
 🦔	&#x1f994;	U+1F994	\xf0\x9f\xa6\x94	
 🦗	&#x1f997;	U+1F997	\xf0\x9f\xa6\x97	
 🦖	&#x1f996;	U+1F996	\xf0\x9f\xa6\x96	
 🦑	&#x1f991;	U+1F991	\xf0\x9f\xa6\x91	
 🦐	&#x1f990;	U+1F990	\xf0\x9f\xa6\x90	
 🦓	&#x1f993;	U+1F993	\xf0\x9f\xa6\x93	
 🤸‍♀	&#x200d00000000;	U+1F9380000200D00002640	\xf0\x9f\xa4\xb8\xe2\x80\x8d\xe2\x99\x80	
 🦝	&#x1f99d;	U+1F99D	\xf0\x9f\xa6\x9d	
 🦜	&#x1f99c;	U+1F99C	\xf0\x9f\xa6\x9c	
 🦟	&#x1f99f;	U+1F99F	\xf0\x9f\xa6\x9f	
 🦞	&#x1f99e;	U+1F99E	\xf0\x9f\xa6\x9e	
 🦙	&#x1f999;	U+1F999	\xf0\x9f\xa6\x99	
 🦘	&#x1f998;	U+1F998	\xf0\x9f\xa6\x98	
 🦛	&#x1f99b;	U+1F99B	\xf0\x9f\xa6\x9b	
 🦚	&#x1f99a;	U+1F99A	\xf0\x9f\xa6\x9a	
 🤸‍♂	&#x200d00000000;	U+1F9380000200D00002642	\xf0\x9f\xa4\xb8\xe2\x80\x8d\xe2\x99\x82	
 👩‍❤‍👩	&#x0;	U+1F4690000200D000027640000200D0001F469	\xf0\x9f\x91\xa9\xe2\x80\x8d\xe2\x9d\xa4\xe2\x80\x8d\xf0\x9f\x91\xa9	
 😮	&#x1f62e;	U+1F62E	\xf0\x9f\x98\xae	
 🚱	&#x1f6b1;	U+1F6B1	\xf0\x9f\x9a\xb1	
 ☹	&#x2639;	U+2639	\xe2\x98\xb9	
 ☸	&#x2638;	U+2638	\xe2\x98\xb8	
 ☺	&#x263a;	U+263A	\xe2\x98\xba	
 ☪	&#x262a;	U+262A	\xe2\x98\xaa	
 ☯	&#x262f;	U+262F	\xe2\x98\xaf	
 ☮	&#x262e;	U+262E	\xe2\x98\xae	
 ☠	&#x2620;	U+2620	\xe2\x98\xa0	
 ☣	&#x2623;	U+2623	\xe2\x98\xa3	
 ☢	&#x2622;	U+2622	\xe2\x98\xa2	
 ☦	&#x2626;	U+2626	\xe2\x98\xa6	
 ☘	&#x2618;	U+2618	\xe2\x98\x98	
 ☝	&#x261d;	U+261D	\xe2\x98\x9d	
 ☑	&#x2611;	U+2611	\xe2\x98\x91	
 ☕	&#x2615;	U+2615	\xe2\x98\x95	
 ☔	&#x2614;	U+2614	\xe2\x98\x94	
 ☎	&#x260e;	U+260E	\xe2\x98\x8e	
 ☁	&#x2601;	U+2601	\xe2\x98\x81	
 ☀	&#x2600;	U+2600	\xe2\x98\x80	
 ☃	&#x2603;	U+2603	\xe2\x98\x83	
 ☂	&#x2602;	U+2602	\xe2\x98\x82	
 🤹‍♀	&#x200d00000000;	U+1F9390000200D00002640	\xf0\x9f\xa4\xb9\xe2\x80\x8d\xe2\x99\x80	
 ☄	&#x2604;	U+2604	\xe2\x98\x84	
 🤹‍♂	&#x200d00000000;	U+1F9390000200D00002642	\xf0\x9f\xa4\xb9\xe2\x80\x8d\xe2\x99\x82	
 👩‍⚖	&#x200d00000000;	U+1F4690000200D00002696	\xf0\x9f\x91\xa9\xe2\x80\x8d\xe2\x9a\x96	
 👩‍⚕	&#x200d00000000;	U+1F4690000200D00002695	\xf0\x9f\x91\xa9\xe2\x80\x8d\xe2\x9a\x95	
 🚵‍♀	&#x200d00000000;	U+1F6B50000200D00002640	\xf0\x9f\x9a\xb5\xe2\x80\x8d\xe2\x99\x80	
 🚊	&#x1f68a;	U+1F68A	\xf0\x9f\x9a\x8a	
 ◼	&#x25fc;	U+25FC	\xe2\x97\xbc	
 🚌	&#x1f68c;	U+1F68C	\xf0\x9f\x9a\x8c	
 ◾	&#x25fe;	U+25FE	\xe2\x97\xbe	
 👨‍👩‍👦‍👦	&#x0;	U+1F4680000200D0001F4690000200D0001F4660000200D0001F466	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x91\xa6\xe2\x80\x8d\xf0\x9f\x91\xa6	
 👨‍❤‍👨	&#x0;	U+1F4680000200D000027640000200D0001F468	\xf0\x9f\x91\xa8\xe2\x80\x8d\xe2\x9d\xa4\xe2\x80\x8d\xf0\x9f\x91\xa8	
 🧝‍♂️	&#x0;	U+1F9DD0000200D000026420000FE0F	\xf0\x9f\xa7\x9d\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f	
 🚣‍♀	&#x200d00000000;	U+1F6A30000200D00002640	\xf0\x9f\x9a\xa3\xe2\x80\x8d\xe2\x99\x80	
 🧛‍♀️	&#x0;	U+1F9DB0000200D000026400000FE0F	\xf0\x9f\xa7\x9b\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f	
 🇭🇹	&#x1f1ed0001f1f9;	U+1F1ED0001F1F9	\xf0\x9f\x87\xad\xf0\x9f\x87\xb9	
 👨‍🎤	&#x200d00000000;	U+1F4680000200D0001F3A4	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8e\xa4	
 🇭🇺	&#x1f1ed0001f1fa;	U+1F1ED0001F1FA	\xf0\x9f\x87\xad\xf0\x9f\x87\xba	
 🇭🇰	&#x1f1ed0001f1f0;	U+1F1ED0001F1F0	\xf0\x9f\x87\xad\xf0\x9f\x87\xb0	
 🇭🇳	&#x1f1ed0001f1f3;	U+1F1ED0001F1F3	\xf0\x9f\x87\xad\xf0\x9f\x87\xb3	
 👨‍🎨	&#x200d00000000;	U+1F4680000200D0001F3A8	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8e\xa8	
 🇭🇷	&#x1f1ed0001f1f7;	U+1F1ED0001F1F7	\xf0\x9f\x87\xad\xf0\x9f\x87\xb7	
 👨‍🎓	&#x200d00000000;	U+1F4680000200D0001F393	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8e\x93	
 🛤	&#x1f6e4;	U+1F6E4	\xf0\x9f\x9b\xa4	
 🛥	&#x1f6e5;	U+1F6E5	\xf0\x9f\x9b\xa5	
 🛢	&#x1f6e2;	U+1F6E2	\xf0\x9f\x9b\xa2	
 🛣	&#x1f6e3;	U+1F6E3	\xf0\x9f\x9b\xa3	
 🛠	&#x1f6e0;	U+1F6E0	\xf0\x9f\x9b\xa0	
 🛡	&#x1f6e1;	U+1F6E1	\xf0\x9f\x9b\xa1	
 🛬	&#x1f6ec;	U+1F6EC	\xf0\x9f\x9b\xac	
 🛫	&#x1f6eb;	U+1F6EB	\xf0\x9f\x9b\xab	
 🛩	&#x1f6e9;	U+1F6E9	\xf0\x9f\x9b\xa9	
 🛶	&#x1f6f6;	U+1F6F6	\xf0\x9f\x9b\xb6	
 🛷	&#x1f6f7;	U+1F6F7	\xf0\x9f\x9b\xb7	
 🛴	&#x1f6f4;	U+1F6F4	\xf0\x9f\x9b\xb4	
 🛵	&#x1f6f5;	U+1F6F5	\xf0\x9f\x9b\xb5	
 🛳	&#x1f6f3;	U+1F6F3	\xf0\x9f\x9b\xb3	
 🛰	&#x1f6f0;	U+1F6F0	\xf0\x9f\x9b\xb0	
 👨‍✈	&#x200d00000000;	U+1F4680000200D00002708	\xf0\x9f\x91\xa8\xe2\x80\x8d\xe2\x9c\x88	
 🛸	&#x1f6f8;	U+1F6F8	\xf0\x9f\x9b\xb8	
 🛹	&#x1f6f9;	U+1F6F9	\xf0\x9f\x9b\xb9	
 🛄	&#x1f6c4;	U+1F6C4	\xf0\x9f\x9b\x84	
 🛅	&#x1f6c5;	U+1F6C5	\xf0\x9f\x9b\x85	
 🛂	&#x1f6c2;	U+1F6C2	\xf0\x9f\x9b\x82	
 🛃	&#x1f6c3;	U+1F6C3	\xf0\x9f\x9b\x83	
 🛀	&#x1f6c0;	U+1F6C0	\xf0\x9f\x9b\x80	
 🛁	&#x1f6c1;	U+1F6C1	\xf0\x9f\x9b\x81	
 🛎	&#x1f6ce;	U+1F6CE	\xf0\x9f\x9b\x8e	
 🛏	&#x1f6cf;	U+1F6CF	\xf0\x9f\x9b\x8f	
 🛌	&#x1f6cc;	U+1F6CC	\xf0\x9f\x9b\x8c	
 🛍	&#x1f6cd;	U+1F6CD	\xf0\x9f\x9b\x8d	
 🛋	&#x1f6cb;	U+1F6CB	\xf0\x9f\x9b\x8b	
 🛒	&#x1f6d2;	U+1F6D2	\xf0\x9f\x9b\x92	
 🛐	&#x1f6d0;	U+1F6D0	\xf0\x9f\x9b\x90	
 🛑	&#x1f6d1;	U+1F6D1	\xf0\x9f\x9b\x91	
 ▫	&#x25ab;	U+25AB	\xe2\x96\xab	
 ▪	&#x25aa;	U+25AA	\xe2\x96\xaa	
 👩‍🔬	&#x200d00000000;	U+1F4690000200D0001F52C	\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x94\xac	
 🅾	&#x1f17e;	U+1F17E	\xf0\x9f\x85\xbe	
 🅿	&#x1f17f;	U+1F17F	\xf0\x9f\x85\xbf	
 ™	&#x2122;	U+2122	\xe2\x84\xa2	
 🅰	&#x1f170;	U+1F170	\xf0\x9f\x85\xb0	
 🅱	&#x1f171;	U+1F171	\xf0\x9f\x85\xb1	
 ℹ	&#x2139;	U+2139	\xe2\x84\xb9	
 *⃣	&#x2a000020e3;	U+2A000020E3	\x2a\xe2\x83\xa3	
 🙎‍♂	&#x200d00000000;	U+1F64E0000200D00002642	\xf0\x9f\x99\x8e\xe2\x80\x8d\xe2\x99\x82	
 ♿	&#x267f;	U+267F	\xe2\x99\xbf	
 ♻	&#x267b;	U+267B	\xe2\x99\xbb	
 ♨	&#x2668;	U+2668	\xe2\x99\xa8	
 ♦	&#x2666;	U+2666	\xe2\x99\xa6	
 ♥	&#x2665;	U+2665	\xe2\x99\xa5	
 ♣	&#x2663;	U+2663	\xe2\x99\xa3	
 ♠	&#x2660;	U+2660	\xe2\x99\xa0	
 🤦‍♂	&#x200d00000000;	U+1F9260000200D00002642	\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82	
 ⛓	&#x26d3;	U+26D3	\xe2\x9b\x93	
 ♒	&#x2652;	U+2652	\xe2\x99\x92	
 ♓	&#x2653;	U+2653	\xe2\x99\x93	
 ♐	&#x2650;	U+2650	\xe2\x99\x90	
 ♑	&#x2651;	U+2651	\xe2\x99\x91	
 ♎	&#x264e;	U+264E	\xe2\x99\x8e	
 ♏	&#x264f;	U+264F	\xe2\x99\x8f	
 ♌	&#x264c;	U+264C	\xe2\x99\x8c	
 ♍	&#x264d;	U+264D	\xe2\x99\x8d	
 ♊	&#x264a;	U+264A	\xe2\x99\x8a	
 ♋	&#x264b;	U+264B	\xe2\x99\x8b	
 ♈	&#x2648;	U+2648	\xe2\x99\x88	
 ♉	&#x2649;	U+2649	\xe2\x99\x89	
 🇬🇩	&#x1f1ec0001f1e9;	U+1F1EC0001F1E9	\xf0\x9f\x87\xac\xf0\x9f\x87\xa9	
 🇬🇪	&#x1f1ec0001f1ea;	U+1F1EC0001F1EA	\xf0\x9f\x87\xac\xf0\x9f\x87\xaa	
 🇬🇫	&#x1f1ec0001f1eb;	U+1F1EC0001F1EB	\xf0\x9f\x87\xac\xf0\x9f\x87\xab	
 🇬🇬	&#x1f1ec0001f1ec;	U+1F1EC0001F1EC	\xf0\x9f\x87\xac\xf0\x9f\x87\xac	
 🇬🇭	&#x1f1ec0001f1ed;	U+1F1EC0001F1ED	\xf0\x9f\x87\xac\xf0\x9f\x87\xad	
